x_m,y_m,w_tr_right_m,w_tr_left_m,w_re_right_m,w_re_left_m
-3.009915254,12.9909429,0.85,0.85,0.85,0.85
-3.047688204,12.99968993,0.85,0.85,0.85,0.85
-3.085630559,13.00850595,0.85,0.85,0.85,0.85
-3.123837715,13.01741578,0.85,0.85,0.85,0.85
-3.162414795,13.02644557,0.85,0.85,0.85,0.85
-3.201475989,13.03562276,0.85,0.85,0.85,0.85
-3.24113605,13.04497091,0.85,0.85,0.85,0.85
-3.281504223,13.05450928,0.85,0.85,0.85,0.85
-3.322672842,13.06425048,0.85,0.85,0.85,0.85
-3.364708672,13.07419857,0.85,0.85,0.85,0.85
-3.407645271,13.08434932,0.85,0.85,0.85,0.85
-3.451479385,13.09469093,0.85,0.85,0.85,0.85
-3.496169513,13.10520303,0.85,0.85,0.85,0.85
-3.541641721,13.11586079,0.85,0.85,0.85,0.85
-3.587796818,13.12663455,0.85,0.85,0.85,0.85
-3.634519324,13.13749152,0.85,0.85,0.85,0.85
-3.681687179,13.14839726,0.85,0.85,0.85,0.85
-3.729177277,13.15931392,0.85,0.85,0.85,0.85
-3.776871685,13.17019981,0.85,0.85,0.85,0.85
-3.824659681,13.1810096,0.85,0.85,0.85,0.85
-3.87243849,13.19169238,0.85,0.85,0.85,0.85
-3.920113031,13.20219236,0.85,0.85,0.85,0.85
-3.967595591,13.21245106,0.85,0.85,0.85,0.85
-4.014806017,13.22240806,0.85,0.85,0.85,0.85
-4.061672679,13.23200521,0.85,0.85,0.85,0.85
-4.108134048,13.2411914,0.85,0.85,0.85,0.85
-4.154140536,13.24992531,0.85,0.85,0.85,0.85
-4.199656264,13.25817923,0.85,0.85,0.85,0.85
-4.244659341,13.26594244,0.85,0.85,0.85,0.85
-4.289141051,13.27322021,0.85,0.85,0.85,0.85
-4.333104177,13.28003432,0.85,0.85,0.85,0.85
-4.376559769,13.28642082,0.85,0.85,0.85,0.85
-4.419523217,13.29242504,0.85,0.85,0.85,0.85
-4.462013037,13.29809935,0.85,0.85,0.85,0.85
-4.504046312,13.30349554,0.85,0.85,0.85,0.85
-4.545641855,13.3086636,0.85,0.85,0.85,0.85
-4.586821017,13.31364703,0.85,0.85,0.85,0.85
-4.627612968,13.3184826,0.85,0.85,0.85,0.85
-4.668058873,13.32320009,0.85,0.85,0.85,0.85
-4.708213514,13.3278217,0.85,0.85,0.85,0.85
-4.748148601,13.33236633,0.85,0.85,0.85,0.85
